Reserve,Reserve count (values),Genus_Species,Family,Genus,Species,ssp./var. designation,ssp./var. name,Division,Reserve count (formula),Synonym,Common Name,"Uncertainties in species ID, noted in original flora",Native/Exotic,Habitat (approx),Bloom Time (approx),,,,,,
McLaughlin,4,Lagophylla ramosissima,Asteraceae,Lagophylla,ramosissima,ssp.,congesta,Angiosperm,4,,,,,,,,,,,,
Quail Ridge,5,Lagophylla ramosissima,Asteraceae,Lagophylla,ramosissima,ssp.,,Angiosperm,5,,Forked hareleaf   ,,,,,,,,,,
Sedgewick,6,Lagophylla ramosissima,Asteraceae,Lagophylla,ramosissima,ssp.,ramosissima,Angiosperm,6,,,,,,,,,,,,
Stebbins Cold Canyon,7,Lagophylla ramosissima,Asteraceae,Lagophylla,ramosissima,,,Angiosperm,7,,Common hareleaf,,,Dry habitats,May-October,,,,,,
Bodega,1,Lagurus ovatus,Poaceae,Lagurus,ovatus,,,Angiosperm,1,,Hare's tail,,introduced,,,,,,,,
Blue Oak Ranch,1,Lamarckia aurea,Poaceae,Lamarckia,aurea,,,Angiosperm,1,,,,,,,,,,,,
Hastings,2,Lamarckia aurea,Poaceae,Lamarckia,aurea,,,Angiosperm,2,,,,,,,,,,,,
Landells-Hill Big Creek,3,Lamarckia aurea,Poaceae,Lamarckia,aurea,,,Angiosperm,3,,Goldentop,,,,,,,,,,
Motte Rimrock,4,Lamarckia aurea,Poaceae,Lamarckia,aurea,,,Angiosperm,4,,Goldentop  ,,,,,,,,,,
San Joaquin Freshwater Marsh,5,Lamarckia aurea,Poaceae,Lamarckia,aurea,,,Angiosperm,5,,,,,,,,,,,,
Scripps Coastal,6,Lamarckia aurea,Poaceae,Lamarckia,aurea,,,Angiosperm,6,,,,,,,,,,,,
Sedgewick,7,Lamarckia aurea,Poaceae,Lamarckia,aurea,,,Angiosperm,7,,,,,,,,,,,,
Stunt Ranch Santa Monica Mountains,8,Lamarckia aurea,Poaceae,Lamarckia,aurea,,,Angiosperm,8,,,,Exotic,,,,,,,,
Blue Oak Ranch,1,Lamium amplexicaule,Lamiaceae,Lamium,amplexicaule,,,Angiosperm,1,,,,,,,,,,,,
Carpinteria Salt Marsh,2,Lamium amplexicaule,Lamiaceae,Lamium,amplexicaule,,,Angiosperms,2,,Giraffe Head    ,,,,,,,,,,
Hastings,3,Lamium amplexicaule,Lamiaceae,Lamium,amplexicaule,,,Angiosperm,3,,,,,,,,,,,,
McLaughlin,4,Lamium amplexicaule,Lamiaceae,Lamium,amplexicaule,,,Angiosperm,4,,,,,,,,,,,,
San Joaquin Freshwater Marsh,5,Lamium amplexicaule,Geraniaceae,Lamium,amplexicaule,,,Angiosperm,5,   ,,,,,,,,,,,
Sedgewick,6,Lamium amplexicaule,Lamiaceae,Lamium,amplexicaule,,,Angiosperm,6,,,,,,,,,,,,
Stebbins Cold Canyon,7,Lamium amplexicaule,Lamiaceae,Lamium,amplexicaule,,,Angiosperm,7,,Henbit,,Native to Europe,"Disturbed sites, former fields or homesteads",March-August,,,,,,
Scripps Coastal,1,Lampranthus coccineus,Aizoaceae,Lampranthus,coccineus,,,Angiosperm,1,,,,,,,,,,,,
Boyd Deep Canyon,1,Langloisia setosissima,Polemoniaceae,Langloisia,setosissima,ssp.,setpsissima,Angiosperm,1,,,,,,,,,,,,
Sweeney Granite Mountains ,2,Langloisia setosissima,Polemoniaceae,Langloisia,setosissima,ssp.,punctata,Angiosperm,2,,spotted langloisia,,,,,,,,,,
SNARL,1,Lappula redowskii,Boraginaceae,Lappula,redowskii,var.,redowskii,Angiosperm,1,,,,,see SNARL list (original),,,,,,,
Boyd Deep Canyon,1,Larrea tridentata,Zygophyllaceae,Larrea,tridentata,,,Angiosperm,1,,,,,,,,,,,,
Burns Pinon Ridge,2,Larrea tridentata,Zygophyllaceae,Larrea,tridentata,,,Angiosperm,2,,,,,,,,,,,,
Sweeney Granite Mountains ,3,Larrea tridentata,Zygophyllaceae,Larrea,tridentata,,,Angiosperm,3,,creosote bush,,,,,,,,,,
Hastings,1,Lastarriaea coriacea,Polygonaceae,Lastarriaea,coriacea,,,Angiosperm,1,,,,,,,,,,,,
Scripps Coastal,2,Lastarriaea coriacea,Polygonaceae,Lastarriaea,coriacea,,,Angiosperm,2,,,,,,,,,,,,
Blue Oak Ranch,1,Lasthenia californica,Asteraceae,Lasthenia,californica,,,Angiosperm,1,,,,,,,,,,,,
Bodega,2,Lasthenia californica,Asteraceae,Lasthenia,californica,,,Angiosperm,2,,Goldfields,,native,,,,,,,,
Dawson Los Monos Canyon,3,Lasthenia californica,Asteraceae,Lasthenia,californica,,,Angiosperm,3,,,,,,,,,,,,
Hastings,4,Lasthenia californica,Asteraceae,Lasthenia,californica,,,Angiosperm,4,,,,,,,,,,,,
Jepson Prairie,5,Lasthenia californica,Asteraceae,Lasthenia,californica,,,Angiosperm,5,,,,,,,,,,,,
Landells-Hill Big Creek,6,Lasthenia californica,Asteraceae,Lasthenia,californica,,,Angiosperm,6,,Goldfields ,,,,,,,,,,
McLaughlin,7,Lasthenia californica,Asteraceae,Lasthenia,californica,,,Angiosperm,7,,,,,,,,,,,,
Motte Rimrock,8,Lasthenia californica,Asteraceae,Lasthenia,californica,,,Angiosperm,8,,Goldfields  ,,,,,,,,,,
Quail Ridge,9,Lasthenia californica,Asteraceae,Lasthenia,californica,,,Angiosperm,9,,Goldfields    ,,,,,,,,,,
Sedgewick,10,Lasthenia californica,Asteraceae,Lasthenia,californica,,,Angiosperm,10,,,,,,,,,,,,
Stunt Ranch Santa Monica Mountains,11,Lasthenia californica,Asteraceae,Lasthenia,californica,,,Angiosperm,11,Lasthenia chrysostoma,,,,,,,,,,,
Jepson Prairie,1,Lasthenia chrysantha,Asteraceae,Lasthenia,chrysantha,,,Angiosperm,1,,,,,,,,,,,,
Burns Pinon Ridge,1,Lasthenia chrysostoma,Asteraceae,Lasthenia,chrysostoma,,,Angiosperm,1,,,,,,,,,,,,
Boyd Deep Canyon,1,Lasthenia coronaria,Asteraceae,Lasthenia,coronaria,,,Angiosperm,1,,,,,,,,,,,,
Elliot Chaparral,2,Lasthenia coronaria,Asteraceae,Lasthenia,coronaria,,,Angiosperm,2,,,,,,,,,,,,
Jepson Prairie,1,Lasthenia fremontii,Asteraceae,Lasthenia,fremontii,,,Angiosperm,1,,,,,,,,,,,,
Jepson Prairie,1,Lasthenia glaberrima,Asteraceae,Lasthenia,glaberrima,,,Angiosperm,1,,,,,,,,,,,,
Carpinteria Salt Marsh,1,Lasthenia glabrata,Asteraceae,Lasthenia,glabrata,ssp.,coulteri,Angiosperms,1,,Salt Marsh Daisy or Goldfields ,,,,,,,,,,
Jepson Prairie,2,Lasthenia glabrata,Asteraceae,Lasthenia,glabrata,ssp.,glabrata,Angiosperm,2,,,,,,,,,,,,
Burns Pinon Ridge,1,Lasthenia gracilis,Asteraceae,Lasthenia,gracilis,,,Angiosperm,1,Lasthenia californica,,,,,,,,,,,
Sedgewick,2,Lasthenia gracilis,Asteraceae,Lasthenia,gracilis,,,Angiosperm,2,,,,,,,,,,,,
Bodega,1,Lasthenia minor,Asteraceae,Lasthenia,minor,,,Angiosperm,1,,Goldfields,,native,,,,,,,,
Jepson Prairie,1,Lasthenia platycarpha,Asteraceae,Lasthenia,platycarpha,,,Angiosperm,1,,,,,,,,,,,,
Kenneth S Norris Rancho Marino,1,Lathryus Jepson Prairieii,Fabaceae,Lathryus,Jepson Prairieii,,,,1,,"Jepson Prairie’s Pea, Tule Pea",,,,,,,,,,
Hastings,1,Lathyrus Jepson Prairieii,Fabaceae,Lathyrus,Jepson Prairieii,,,,1,,,,,,,,,,,,
Jepson Prairie,2,Lathyrus Jepson Prairieii,Fabaceae,Lathyrus,Jepson Prairieii,var.,j.R,Angiosperm,2,,,,,,,,,,,,
Landells-Hill Big Creek,3,Lathyrus Jepson Prairieii,Fabaceae,Lathyrus,Jepson Prairieii,,,Angiosperm,3,,,,,,,,,,,,
Bodega,1,Lathyrus latifolius,Fabaceae,Lathyrus,latifolius,,,Angiosperm,1,,Everlasting pea,,introduced,,,,,,,,
Sedgewick,2,Lathyrus latifolius,Fabaceae,Lathyrus,latifolius,,,Angiosperm,2,,,,,,,,,,,,
Angelo Coast Range,1,Lathyrus sulphureus,Fabaceae,Lathyrus,sulphureus,,,,1,,,,,,,,,,,,
Blue Oak Ranch,1,Lathyrus vestitus,Fabaceae,Lathyrus,vestitus,var.,vestitus,Angiosperm,1,,,,,,,,,,,,
Boyd Deep Canyon,2,Lathyrus vestitus,Fabaceae,Lathyrus,vestitus,var.,alefeldii,Angiosperm,2,L. laetiflorus,,,,,,,,,,,
Dawson Los Monos Canyon,3,Lathyrus vestitus,Fabaceae,Lathyrus,vestitus,var.,alefeldii,,3,,,,,,,,,,,,
Elliot Chaparral,4,Lathyrus vestitus,Fabaceae,Lathyrus,vestitus,,,,4,,,,,,,,,,,,
Elliot Chaparral,5,Lathyrus vestitus,Fabaceae,Lathyrus,vestitus,var.,alefeldii,,5,,,,,,,,,,,,
Fort Ord,6,Lathyrus vestitus,Fabaceae,Lathyrus,vestitus,var.,vestitus,Angiosperm,6,,Common pacific pea,,,,,,,,,,
Hastings,7,Lathyrus vestitus,Fabaceae,Lathyrus,vestitus,,,,7,,,,,,,,,,,,
Landells-Hill Big Creek,8,Lathyrus vestitus,Fabaceae,Lathyrus,vestitus,,,Angiosperm,8,,Common Pacific Pea ,,,,,,,,,,
McLaughlin,9,Lathyrus vestitus,Fabaceae,Lathyrus,vestitus,var.,vestitus,Angiosperm,9,,,,,,,,,,,,
Quail Ridge,10,Lathyrus vestitus,Fabaceae,Lathyrus,vestitus,var.,vestitus,Angiosperm,10,,Pacific peavine   ,,,,,,,,,,
Kenneth S Norris Rancho Marino,11,Lathyrus vestitus,Fabaceae,Lathyrus,vestitus,,,,11,,Wild Sweet-Pea,,,,,,,,,,
Sedgewick,12,Lathyrus vestitus,Fabaceae,Lathyrus,vestitus,var.,vestitus,Angiosperm,12,,,,,,,,,,,,
Stebbins Cold Canyon,13,Lathyrus vestitus,Fabaceae,Lathyrus,vestitus,var.,vestitus,Angiosperm,13,,Pacific peavine,,,"Chaparral, oak woodland",April-June,,,,,,
Stunt Ranch Santa Monica Mountains,14,Lathyrus vestitus,Fabaceae,Lathyrus,vestitus,var.,vestitus,,14,Lathyrus laetiflorus subsp. barbarae,,,,,,,,,,,
Carpinteria Salt Marsh,1,Lavatera cretica,Malvaceae,Lavatera,cretica,,,Angiosperms,1,,Cretan Lavatera    ,,,,,,,,,,
Jepson Prairie,1,Layia chrysanthemoides,Asteraceae,Layia,chrysanthemoides,,,Angiosperm,1,,,,,,,,,,,,
Jepson Prairie,1,Layia fremontii,Asteraceae,Layia,fremontii,,,Angiosperm,1,,,,,,,,,,,,
Blue Oak Ranch,1,Layia gaillardioides,Asteraceae,Layia,gaillardioides,,,Angiosperm,1,,,,,,,,,,,,
Burns Pinon Ridge,1,Layia glandulosa,Asteraceae,Layia,glandulosa,,,Angiosperm,1,,,,,,,,,,,,
Sedgewick,2,Layia glandulosa,Asteraceae,Layia,glandulosa,,,Angiosperm,2,,,,,,,,,,,,
Sweeney Granite Mountains ,3,Layia glandulosa,Asteraceae,Layia,glandulosa,,,Angiosperm,3,,white layia,,,,,,,,,,
Hastings,1,Layia hieracioides,Asteraceae,Layia,hieracioides,,,Angiosperm,1,,,,,,,,,,,,
Blue Oak Ranch,1,Layia platyglossa,Asteraceae,Layia,platyglossa,,,Angiosperm,1,,,,,,,,,,,,
Bodega,2,Layia platyglossa,Asteraceae,Layia,platyglossa,,,Angiosperm,2,,Tidy tips,,native,,,,,,,,
Fort Ord,3,Layia platyglossa,Asteraceae,Layia,platyglossa,,,Angiosperm,3,,Tidy tips,,,,,,,,,,
Hastings,4,Layia platyglossa,Asteraceae,Layia,platyglossa,,,Angiosperm,4,,,,,,,,,,,,
McLaughlin,5,Layia platyglossa,Asteraceae,Layia,platyglossa,,,Angiosperm,5,,,,,,,,,,,,
Motte Rimrock,6,Layia platyglossa,Asteraceae,Layia,platyglossa,,,Angiosperm,6,,Tidy-Tips  ,,,,,,,,,,
Sedgewick,7,Layia platyglossa,Asteraceae,Layia,platyglossa,,,Angiosperm,7,,,,,,,,,,,,
McLaughlin,1,Layia septentrionalis,Asteraceae,Layia,septentrionalis,,,Angiosperm,1,,,,,,,,,,,,
Chickering American River,1,Ledum glandulosum,Ericaceae,Ledum,glandulosum,,,Angiosperm,1,,,,,,,,,,,,
Jepson Prairie,1,Legenere limosa,Campanulaceae,Legenere,limosa,,,Angiosperm,1,,,,,,,,,,,,
Carpinteria Salt Marsh,1,Lemna gibba,Lemnaceae,Lemna,gibba,,,Angiosperms,1,,Gibbous Duckweed    ,,,,,,,,,,
Blue Oak Ranch,1,Lemna minor,Lemnaceae,Lemna,minor,,,Angiosperm,1,,,,,,,,,,,,
Carpinteria Salt Marsh,2,Lemna minor,Lemnaceae,Lemna,minor,,,Angiosperms,2,,Lesser Duckweed    ,,,,,,,,,,
Hastings,3,Lemna minor,Lemnaceae,Lemna,minor,,,Angiosperm,3,,,,,,,,,,,,
San Joaquin Freshwater Marsh,1,Lemna minuta,Lemnaceae,Lemna,minuta,,,Angiosperm,1,   ,,,,,,,,,,,
Dawson Los Monos Canyon,1,Lemna sp.,Araceae,Lemna,sp.,,,Angiosperm,1,,,,,,,,,,,,
Jepson Prairie,2,Lemna sp.,Lemnaceae,Lemna,sp.,,,Angiosperm,2,,,,,,,,,,,,
Sagehen Creek,3,Lemna sp.,Lemnaceae,Lemna,sp.,,,Angiosperm,3,,,,,,,,,,,,
Bodega,1,Lemna valdiviana,Lemnaceae,Lemna,valdiviana,,,Angiosperm,1,,Duckweed,,native,,,,,,,,
James San Jacinto Mountains,2,Lemna valdiviana,Lemnaceae,Lemna,valdiviana,,,Angiosperm,2,,,,,,,,,,,,
Bodega,1,Leontodon taraxacoides,Asteraceae,Leontodon,taraxacoides,,,Angiosperm,1,,Hawkbit,,introduced,,,,,,,,
Jepson Prairie,2,Leontodon taraxacoides,Asteraceae,Leontodon,taraxacoides,ssp.,longirostris,Angiosperm,2,,,,,,,,,,,,
Quail Ridge,3,Leontodon taraxacoides,Asteraceae,Leontodon,taraxacoides,,,Angiosperm,3,,Hairy hawkbit   ,,,,,,,,,,
San Joaquin Freshwater Marsh,1,Lepdium latifolium,Brassicaceae,Lepdium,latifolium,,,Angiosperm,1,   ,,,,,,,,,,,
McLaughlin,1,Lepechinia calycina,Lamiaceae,Lepechinia,calycina,,,Angiosperm,1,,,,,,,,,,,,
Quail Ridge,2,Lepechinia calycina,Lamiaceae,Lepechinia,calycina,,,Angiosperm,2,,Pitcher sage   ,,,,,,,,,,
Stebbins Cold Canyon,3,Lepechinia calycina,Lamiaceae,Lepechinia,calycina,,,Angiosperm,3,,Pitcher sage,,,"Open slopes, chaparral, woodland",April-June,,,,,,
Elliot Chaparral,1,Lepechinia ganderi,Lamiaceae,Lepechinia,ganderi,,,Angiosperm,1,,,,,,,,,,,,
Chickering American River,1,Lepidium densiflorum,Brassicaceae,Lepidium,densiflorum,,,Angiosperm,1,,,,,,,,,,,,
SNARL,2,Lepidium densiflorum,Brassicaceae,Lepidium,densiflorum,var.,macrocarpum,Angiosperm,2,,,,,see SNARL list (original),,,,,,,
Sweeney Granite Mountains ,3,Lepidium densiflorum,Brassicaceae,Lepidium,densiflorum,var.,elongatum,Angiosperm,3,,dense-flowered lepidium,,,,,,,,,,
Jepson Prairie,1,Lepidium dictyotum,Brassicaceae,Lepidium,dictyotum,var.,dictyotum,Angiosperm,1,,,,,,,,,,,,
San Joaquin Freshwater Marsh,1,Lepidium didymum,Brassicaceae,Lepidium,didymum,,,Angiosperm,1,Coronopus didymus  ,,,,,,,,,,,
San Joaquin Freshwater Marsh,1,Lepidium draba,Brassicaceae,Lepidium,draba,ssp.,draba,Angiosperm,1,Cardaria draba  ,,,,,,,,,,,
Boyd Deep Canyon,1,Lepidium fremontii,Brassicaceae,Lepidium,fremontii,var.,fremontii,Angiosperm,1,,,,,,,,,,,,
Burns Pinon Ridge,2,Lepidium fremontii,Brassicaceae,Lepidium,fremontii,var.,fremontii,Angiosperm,2,,,,,,,,,,,,
Sweeney Granite Mountains ,3,Lepidium fremontii,Brassicaceae,Lepidium,fremontii,var.,fremontii,Angiosperm,3,,Fremont's pepper-grass,,,,,,,,,,
Boyd Deep Canyon,1,Lepidium lasiocarpum,Brassicaceae,Lepidium,lasiocarpum,var.,lasiocarpum,Angiosperm,1,,,,,,,,,,,,
Burns Pinon Ridge,2,Lepidium lasiocarpum,Brassicaceae,Lepidium,lasiocarpum,var.,lasiocarpum,Angiosperm,2,,,,,,,,,,,,
San Joaquin Freshwater Marsh,3,Lepidium lasiocarpum,Brassicaceae,Lepidium,lasiocarpum,,,Angiosperm,3,   ,,,,,,,,,,,
Sedgewick,4,Lepidium lasiocarpum,Brassicaceae,Lepidium,lasiocarpum,var.,lasiocarpum,Angiosperm,4,,,,,,,,,,,,
Sweeney Granite Mountains ,5,Lepidium lasiocarpum,Brassicaceae,Lepidium,lasiocarpum,var.,lasiocarpum,Angiosperm,5,,hairy pod pepper-grass,,,,,,,,,,
Blue Oak Ranch,1,Lepidium latifolium,Brassicaceae,Lepidium,latifolium,,,Angiosperm,1,,,,,,,,,,,,
Bodega,2,Lepidium latifolium,Brassicaceae,Lepidium,latifolium,,,Angiosperm,2,,Perennial pepperweed,,introduced,,,,,,,,
Jepson Prairie,3,Lepidium latifolium,Brassicaceae,Lepidium,latifolium,,,Angiosperm,3,,,,,,,,,,,,
McLaughlin,4,Lepidium latifolium,Brassicaceae,Lepidium,latifolium,,,Angiosperm,4,,,,,,,,,,,,
Jepson Prairie,1,Lepidium latipes,Brassicaceae,Lepidium,latipes,var.,latipes,Angiosperm,1,,,,,,,,,,,,
McLaughlin,2,Lepidium latipes,Brassicaceae,Lepidium,latipes,,,Angiosperm,2,,,,,,,,,,,,
Blue Oak Ranch,1,Lepidium nitidum,Brassicaceae,Lepidium,nitidum,,,Angiosperm,1,,,,,,,,,,,,
Bodega,2,Lepidium nitidum,Brassicaceae,Lepidium,nitidum,,,Angiosperm,2,,Shining peppergrass,,native,,,,,,,,
Elliot Chaparral,3,Lepidium nitidum,Brassicaceae,Lepidium,nitidum,,,Angiosperm,3,,,,,,,,,,,,
Fort Ord,4,Lepidium nitidum,Brassicaceae,Lepidium,nitidum,var.,nitidum,Angiosperm,4,,Common pepper-grass,,,,,,,,,,
Hastings,5,Lepidium nitidum,Brassicaceae,Lepidium,nitidum,,,Angiosperm,5,,,,,,,,,,,,
Jepson Prairie,6,Lepidium nitidum,Brassicaceae,Lepidium,nitidum,var.,nitidum,Angiosperm,6,,,,,,,,,,,,
Landells-Hill Big Creek,7,Lepidium nitidum,Brassicaceae,Lepidium,nitidum,,,Angiosperm,7,,Common Peppergrass ,,,,,,,,,,
McLaughlin,8,Lepidium nitidum,Brassicaceae,Lepidium,nitidum,,,Angiosperm,8,,,,,,,,,,,,
Quail Ridge,9,Lepidium nitidum,Brassicaceae,Lepidium,nitidum,,,Angiosperm,9,,Shining pepperweed   ,,,,,,,,,,
San Joaquin Freshwater Marsh,10,Lepidium nitidum,Brassicaceae,Lepidium,nitidum,,,Angiosperm,10,   ,,,,,,,,,,,
Sedgewick,11,Lepidium nitidum,Brassicaceae,Lepidium,nitidum,,,Angiosperm,11,,,,,,,,,,,,
Dawson Los Monos Canyon,1,Lepidium oblongum,Brassicaceae,Lepidium,oblongum,var.,insulare,Angiosperm,1,,,,,,,,,,,,
Jepson Prairie,1,Lepidium oxycarpum,Brassicaceae,Lepidium,oxycarpum,,,Angiosperm,1,,,,,,,,,,,,
Hastings,1,Lepidium perfoliatum,Brassicaceae,Lepidium,perfoliatum,,,Angiosperm,1,,,,,,,,,,,,
Hastings,1,Lepidium pinnatifidum,Brassicaceae,Lepidium,pinnatifidum,,,Angiosperm,1,,,,,,,,,,,,
Fort Ord,1,Lepidium strictum,Brassicaceae,Lepidium,strictum,,,Angiosperm,1,,Wayside pepper-grass,,,,,,,,,,
Hastings,2,Lepidium strictum,Brassicaceae,Lepidium,strictum,,,Angiosperm,2,,,,,,,,,,,,
Kenneth S Norris Rancho Marino,3,Lepidium strictum,Brassicaceae,Lepidium,strictum,,,Angiosperm,3,,Peppercress,,,,,,,,,,
Stebbins Cold Canyon,4,Lepidium strictum,Brassicaceae,Lepidium,strictum,,,Angiosperm,4,,Peppergrass,,Native to South America,Disturbed sites,March-May,,,,,,
Carpinteria Salt Marsh,1,Lepidium virginicum,Brassicaceae,Lepidium,virginicum,var.,pubescens,Angiosperms,1,,Wild Pepper-Grass    ,,,,,,,,,,
Dawson Los Monos Canyon,2,Lepidium virginicum,Brassicaceae,Lepidium,virginicum,var.,robinsonii,Angiosperm,2,,,,,,,,,,,,
Dawson Los Monos Canyon,3,Lepidium virginicum,Brassicaceae,Lepidium,virginicum,var.,robinsonii,Angiosperm,3,,,,,,,,,,,,
Elliot Chaparral,4,Lepidium virginicum,Brassicaceae,Lepidium,virginicum,,,Angiosperm,4,,,,,,,,,,,,
James San Jacinto Mountains,5,Lepidium virginicum,Brassicaceae,Lepidium,virginicum,,,Angiosperm,5,,,,,,,,,,,,
San Joaquin Freshwater Marsh,6,Lepidium virginicum,Brassicaceae,Lepidium,virginicum,var.,pubescens,Angiosperm,6,   ,,,,,,,,,,,
Sedgewick,7,Lepidium virginicum,Brassicaceae,Lepidium,virginicum,,,Angiosperm,7,,,,,,,,,,,,
Stunt Ranch Santa Monica Mountains,8,Lepidium virginicum,Brassicaceae,Lepidium,virginicum,var.,pubescens,Angiosperm,8,,,,Exotic,,,,,,,,
Valentine,9,Lepidium virginicum,Brassicaceae,Lepidium,virginicum,var.,pubescens,Angiosperm,9,,,,,Sierran Upper Montane Forest,,,,,,,
Burns Pinon Ridge,1,Lepidospartum squamatum,Asteraceae,Lepidospartum,squamatum,,,Angiosperm,1,,,,,,,,,,,,
Carpinteria Salt Marsh,1,Leptochloa fascicularis,Poaceae,Leptochloa,fascicularis,,,Angiosperms,1,,Bearded Spangletop or Clustered Salt- Grass,,,,,,,,,,
Jepson Prairie,2,Leptochloa fascicularis,Poaceae,Leptochloa,fascicularis,,,Angiosperm,2,,,,,,,,,,,,
Boyd Deep Canyon,1,Leptochloa uninervia,Poaceae,Leptochloa,uninervia,,,Angiosperm,1,,,,,,,,,,,,
San Joaquin Freshwater Marsh,2,Leptochloa uninervia,Poaceae,Leptochloa,uninervia,,,Angiosperm,2,,,,,,,,,,,,
Sedgewick,1,Leptodactylon californicum,Polemoniaceae,Leptodactylon,californicum,,,Angiosperm,1,,,,,,,,,,,,
Stunt Ranch Santa Monica Mountains,2,Leptodactylon californicum,Polemoniaceae,Leptodactylon,californicum,ssp.,californicum,Angiosperm,2,,,,,,,,,,,,
Boyd Deep Canyon,1,Leptodactylon pungens,Polemoniaceae,Leptodactylon,pungens,,,Angiosperm,1,L. p. ssp. hallii,,,,,,,,,,,
Chickering American River,2,Leptodactylon pungens,Polemoniaceae,Leptodactylon,pungens,,pulchriflorum,Angiosperm,2,,,,,,,,,,,,
James San Jacinto Mountains,3,Leptodactylon pungens,Polemoniaceae,Leptodactylon,pungens,,,Angiosperm,3,,,,,,,,,,,,
SNARL,4,Leptodactylon pungens,Polemoniaceae,Leptodactylon,pungens,,,Angiosperm,4,,,,,see SNARL list (original),,,,,,,
Sweeney Granite Mountains ,5,Leptodactylon pungens,Polemoniaceae,Leptodactylon,pungens,,,Angiosperm,5,,granite gilia,,,,,,,,,,
Chickering American River,1,Lesquerella occidentalis,Brassicaceae,Lesquerella,occidentalis,,,Angiosperm,1,,,,,,,,,,,,
Blue Oak Ranch,1,Lessingia filaginifolia,Asteraceae,Lessingia,filaginifolia,,,Angiosperm,1,,,,,,,,,,,,
Coal Oil Point,2,Lessingia filaginifolia,Asteraceae,Lessingia,filaginifolia,,,Angiosperm,2,,Califonrnia Aster,,,,,,,,,,
Elliot Chaparral,3,Lessingia filaginifolia,Asteraceae,Lessingia,filaginifolia,,,Angiosperm,3,,,,,,,,,,,,
Fort Ord,4,Lessingia filaginifolia,Asteraceae,Lessingia,filaginifolia,var.,filaginifolia,Angiosperm,4,,Sand aster,,,,,,,,,,
Fort Ord,5,Lessingia filaginifolia,Asteraceae,Lessingia,filaginifolia,var.,californica,Angiosperm,5,,Beach aster,,,,,,,,,,
Hastings,6,Lessingia filaginifolia,Asteraceae,Lessingia,filaginifolia,,,Angiosperm,6,,,,,,,,,,,,
James San Jacinto Mountains,7,Lessingia filaginifolia,Asteraceae,Lessingia,filaginifolia,,,Angiosperm,7,,,,,,,,,,,,
Motte Rimrock,8,Lessingia filaginifolia,Asteraceae,Lessingia,filaginifolia,,,Angiosperm,8,,California Aster ,,,,,,,,,,
Sedgewick,9,Lessingia filaginifolia,Asteraceae,Lessingia,filaginifolia,var.,filaginifolia,Angiosperm,9,,,,,,,,,,,,
Stunt Ranch Santa Monica Mountains,10,Lessingia filaginifolia,Asteraceae,Lessingia,filaginifolia,var.,filaginifolia,Angiosperm,10,Corethrogyne filaginifolia var. virgata,,,,,,,,,,,
Boyd Deep Canyon,1,Lessingia glandulifera,Asteraceae,Lessingia,glandulifera,var.,glandulifera,Angiosperm,1,,,,,,,,,,,,
Hastings,2,Lessingia glandulifera,Asteraceae,Lessingia,glandulifera,,,Angiosperm,2,,,,,,,,,,,,
James San Jacinto Mountains,3,Lessingia glandulifera,Asteraceae,Lessingia,glandulifera,,glandulifera,Angiosperm,3,,,,,,,,,,,,
McLaughlin,1,Lessingia micradenia,Asteraceae,Lessingia,micradenia,,,Angiosperm,1,,,,,,,,,,,,
McLaughlin,1,Lessingia ramulosa,Asteraceae,Lessingia,ramulosa,,,Angiosperm,1,,,,,,,,,,,,
Angelo Coast Range,1,Leucanthemum vulgare,Asteraceae,Leucanthemum,vulgare,,,Angiosperm,1,,,,,,,,,,,,
Chickering American River,1,Leucothoe davisiae,Ericaceae,Leucothoe,davisiae,,,Angiosperm,1,,,,,,,,,,,,
Chickering American River,1,Lewisia nevadensis,Portulacaceae,Lewisia,nevadensis,,,Angiosperm,1,,,,,,,,,,,,
Sagehen Creek,2,Lewisia nevadensis,Portulacaceae,Lewisia,nevadensis,,,Angiosperm,2,,,,,,,,,,,,
Valentine,3,Lewisia nevadensis,Portulacaceae,Lewisia,nevadensis,,,Angiosperm,3,,,,,Sierran Upper Montane Forest,,,,,,,
Blue Oak Ranch,1,Lewisia rediviva,Portulacaceae,Lewisia,rediviva,,,Angiosperm,1,,,,,,,,,,,,
McLaughlin,2,Lewisia rediviva,Portulacaceae,Lewisia,rediviva,,,Angiosperm,2,,,,,,,,,,,,
Chickering American River,1,Lewisia triphylla,Portulacaceae,Lewisia,triphylla,,,Angiosperm,1,,,,,,,,,,,,
SNARL,1,Leymus cinereus,Poaceae,Leymus,cinereus,,,Angiosperm,1,,,,,see SNARL list (original),,,,,,,
Valentine,2,Leymus cinereus,Poaceae,Leymus,cinereus,,,Angiosperm,2,,,,,Great Basin Sagebrush Vegetation,,,,,,,
Blue Oak Ranch,1,Leymus condensatus,Poaceae,Leymus,condensatus,,,Angiosperm,1,,,,,,,,,,,,
Carpinteria Salt Marsh,2,Leymus condensatus,Poaceae,Leymus,condensatus,,,Angiosperms,2,,Giant Rye-Grass    ,,,,,,,,,,
Coal Oil Point,3,Leymus condensatus,Poaceae,Leymus,condensatus,,,Angiosperm,3,,Giant Rye Grass,,,,,,,,,,
Dawson Los Monos Canyon,4,Leymus condensatus,Poaceae,Leymus,condensatus,,,Angiosperm,4,,,,,,,,,,,,
